model	dataset	k	n_repeats	threshold	accuracy	precision	recall	specificity	f1	tp	tn	fp	fn
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.18376068376068377	0.952	0.389	0.329	0.978	0.353	9	661	14	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1851851851851852	0.952	0.389	0.329	0.978	0.353	9	661	14	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.18660968660968663	0.952	0.389	0.329	0.978	0.353	9	661	14	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.18803418803418803	0.952	0.389	0.329	0.978	0.353	9	661	14	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.18945868945868946	0.953	0.397	0.329	0.979	0.356	9	661	14	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1908831908831909	0.953	0.397	0.329	0.979	0.356	9	661	14	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.19230769230769232	0.953	0.403	0.329	0.979	0.359	9	662	14	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.19373219373219375	0.953	0.403	0.329	0.979	0.359	9	662	14	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.19515669515669518	0.954	0.407	0.329	0.980	0.360	9	662	13	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1965811965811966	0.954	0.407	0.329	0.980	0.360	9	662	13	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.198005698005698	0.954	0.407	0.329	0.980	0.360	9	662	13	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.19943019943019943	0.954	0.407	0.329	0.980	0.360	9	662	13	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.20085470085470086	0.954	0.409	0.329	0.980	0.361	9	662	13	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.2022792022792023	0.954	0.409	0.329	0.980	0.361	9	662	13	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.20370370370370372	0.954	0.412	0.329	0.980	0.363	9	662	13	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.20512820512820515	0.955	0.416	0.329	0.980	0.364	9	662	13	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.20655270655270655	0.955	0.413	0.321	0.981	0.359	9	663	13	19
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.20797720797720798	0.955	0.413	0.321	0.981	0.359	9	663	13	19
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.2094017094017094	0.955	0.413	0.321	0.981	0.359	9	663	13	19
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.21082621082621084	0.955	0.421	0.321	0.981	0.362	9	663	12	19
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.21225071225071226	0.955	0.426	0.321	0.982	0.363	9	663	12	19
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.2136752136752137	0.955	0.421	0.314	0.982	0.357	8	663	12	19
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.21509971509971512	0.955	0.424	0.314	0.982	0.358	8	663	12	19
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.21652421652421652	0.956	0.428	0.314	0.982	0.360	8	664	12	19
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.21794871794871795	0.956	0.431	0.314	0.983	0.361	8	664	11	19
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.21937321937321938	0.956	0.431	0.314	0.983	0.361	8	664	11	19
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.2207977207977208	0.956	0.423	0.307	0.983	0.353	8	664	11	19
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.22222222222222224	0.955	0.419	0.300	0.983	0.347	8	664	11	19
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.22364672364672367	0.955	0.419	0.300	0.983	0.347	8	664	11	19
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.2250712250712251	0.956	0.423	0.300	0.983	0.349	8	664	11	19
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.2264957264957265	0.956	0.423	0.300	0.983	0.349	8	664	11	19
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.22792022792022792	0.956	0.423	0.300	0.983	0.349	8	664	11	19
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.22934472934472935	0.955	0.418	0.293	0.983	0.342	8	664	11	19
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.23076923076923078	0.956	0.426	0.293	0.983	0.345	8	664	11	19
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.2321937321937322	0.956	0.421	0.286	0.983	0.339	8	664	11	20
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.23361823361823364	0.956	0.421	0.286	0.983	0.339	8	664	11	20
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.23504273504273507	0.956	0.421	0.286	0.983	0.339	8	664	11	20
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.23646723646723647	0.956	0.421	0.286	0.983	0.339	8	664	11	20
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.2378917378917379	0.956	0.421	0.286	0.983	0.339	8	664	11	20
