model	model_nr	dataset	k	n_repeats	threshold	accuracy	precision	recall	specificity	f1	tp	tn	fp	fn
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.09615384615384616	0.941	0.410	0.568	0.960	0.476	25	858	36	19
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.09722222222222224	0.941	0.410	0.568	0.960	0.476	25	858	36	19
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.0982905982905983	0.940	0.400	0.545	0.960	0.462	24	858	36	20
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.09935897435897437	0.940	0.400	0.545	0.960	0.462	24	858	36	20
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.10042735042735043	0.940	0.400	0.545	0.960	0.462	24	858	36	20
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.10149572649572651	0.940	0.400	0.545	0.960	0.462	24	858	36	20
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.10256410256410257	0.940	0.400	0.545	0.960	0.462	24	858	36	20
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.10363247863247864	0.942	0.414	0.545	0.962	0.471	24	860	34	20
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.10470085470085472	0.943	0.421	0.545	0.963	0.475	24	861	33	20
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.10576923076923078	0.945	0.429	0.545	0.964	0.480	24	862	32	20
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.10683760683760685	0.947	0.444	0.545	0.966	0.490	24	864	30	20
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.10790598290598291	0.947	0.444	0.545	0.966	0.490	24	864	30	20
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.10897435897435899	0.946	0.434	0.523	0.966	0.474	23	864	30	21
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.11004273504273505	0.948	0.451	0.523	0.969	0.484	23	866	28	21
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.11111111111111112	0.948	0.451	0.523	0.969	0.484	23	866	28	21
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.1121794871794872	0.948	0.451	0.523	0.969	0.484	23	866	28	21
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.11324786324786326	0.948	0.451	0.523	0.969	0.484	23	866	28	21
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.11431623931623933	0.948	0.451	0.523	0.969	0.484	23	866	28	21
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.11538461538461539	0.948	0.451	0.523	0.969	0.484	23	866	28	21
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.11645299145299147	0.948	0.451	0.523	0.969	0.484	23	866	28	21
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.11752136752136753	0.949	0.460	0.523	0.970	0.489	23	867	27	21
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.1185897435897436	0.949	0.460	0.523	0.970	0.489	23	867	27	21
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.11965811965811968	0.949	0.460	0.523	0.970	0.489	23	867	27	21
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.12072649572649574	0.949	0.460	0.523	0.970	0.489	23	867	27	21
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.1217948717948718	0.949	0.460	0.523	0.970	0.489	23	867	27	21
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.12286324786324787	0.949	0.460	0.523	0.970	0.489	23	867	27	21
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.12393162393162395	0.949	0.460	0.523	0.970	0.489	23	867	27	21
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.125	0.949	0.460	0.523	0.970	0.489	23	867	27	21
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.1260683760683761	0.949	0.460	0.523	0.970	0.489	23	867	27	21
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.12713675213675216	0.949	0.460	0.523	0.970	0.489	23	867	27	21
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.12820512820512822	0.949	0.460	0.523	0.970	0.489	23	867	27	21
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.12927350427350429	0.949	0.460	0.523	0.970	0.489	23	867	27	21
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.13034188034188035	0.949	0.460	0.523	0.970	0.489	23	867	27	21
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.13141025641025642	0.948	0.449	0.500	0.970	0.473	22	867	27	22
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.13247863247863248	0.948	0.449	0.500	0.970	0.473	22	867	27	22
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.13354700854700857	0.949	0.458	0.500	0.971	0.478	22	868	26	22
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.13461538461538464	0.949	0.458	0.500	0.971	0.478	22	868	26	22
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.1356837606837607	0.949	0.458	0.500	0.971	0.478	22	868	26	22
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.13675213675213677	0.949	0.458	0.500	0.971	0.478	22	868	26	22
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.13782051282051283	0.949	0.458	0.500	0.971	0.478	22	868	26	22
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.1388888888888889	0.949	0.458	0.500	0.971	0.478	22	868	26	22
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.13995726495726496	0.949	0.458	0.500	0.971	0.478	22	868	26	22
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.14102564102564105	0.949	0.458	0.500	0.971	0.478	22	868	26	22
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.14209401709401712	0.949	0.458	0.500	0.971	0.478	22	868	26	22
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.14316239316239318	0.949	0.458	0.500	0.971	0.478	22	868	26	22
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.14423076923076925	0.949	0.458	0.500	0.971	0.478	22	868	26	22
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.1452991452991453	0.949	0.458	0.500	0.971	0.478	22	868	26	22
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.14636752136752137	0.949	0.458	0.500	0.971	0.478	22	868	26	22
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.14743589743589744	0.949	0.458	0.500	0.971	0.478	22	868	26	22
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.14850427350427353	0.948	0.447	0.477	0.971	0.462	21	868	26	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.1495726495726496	0.948	0.447	0.477	0.971	0.462	21	868	26	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.15064102564102566	0.948	0.447	0.477	0.971	0.462	21	868	26	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.15170940170940173	0.948	0.447	0.477	0.971	0.462	21	868	26	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.1527777777777778	0.948	0.447	0.477	0.971	0.462	21	868	26	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.15384615384615385	0.948	0.447	0.477	0.971	0.462	21	868	26	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.15491452991452992	0.948	0.447	0.477	0.971	0.462	21	868	26	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.155982905982906	0.948	0.447	0.477	0.971	0.462	21	868	26	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.15705128205128208	0.948	0.447	0.477	0.971	0.462	21	868	26	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.15811965811965814	0.949	0.457	0.477	0.972	0.467	21	869	25	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.1591880341880342	0.949	0.457	0.477	0.972	0.467	21	869	25	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.16025641025641027	0.949	0.457	0.477	0.972	0.467	21	869	25	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.16132478632478633	0.949	0.457	0.477	0.972	0.467	21	869	25	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.1623931623931624	0.949	0.457	0.477	0.972	0.467	21	869	25	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.1634615384615385	0.949	0.457	0.477	0.972	0.467	21	869	25	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.16452991452991456	0.950	0.467	0.477	0.973	0.472	21	870	24	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.16559829059829062	0.950	0.467	0.477	0.973	0.472	21	870	24	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.16666666666666669	0.951	0.477	0.477	0.974	0.477	21	871	23	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.16773504273504275	0.952	0.488	0.477	0.975	0.483	21	872	22	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.16880341880341881	0.952	0.488	0.477	0.975	0.483	21	872	22	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.16987179487179488	0.952	0.488	0.477	0.975	0.483	21	872	22	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.17094017094017094	0.952	0.488	0.477	0.975	0.483	21	872	22	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.17200854700854704	0.952	0.488	0.477	0.975	0.483	21	872	22	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.1730769230769231	0.952	0.488	0.477	0.975	0.483	21	872	22	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.17414529914529916	0.952	0.488	0.477	0.975	0.483	21	872	22	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.17521367521367523	0.952	0.488	0.477	0.975	0.483	21	872	22	23
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.1762820512820513	0.952	0.488	0.455	0.977	0.471	20	873	21	24
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.17735042735042736	0.953	0.500	0.455	0.978	0.476	20	874	20	24
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.17841880341880342	0.955	0.526	0.455	0.980	0.488	20	876	18	24
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.17948717948717952	0.955	0.526	0.455	0.980	0.488	20	876	18	24
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.18055555555555558	0.955	0.526	0.455	0.980	0.488	20	876	18	24
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.18162393162393164	0.955	0.526	0.455	0.980	0.488	20	876	18	24
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.1826923076923077	0.955	0.526	0.455	0.980	0.488	20	876	18	24
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.18376068376068377	0.955	0.526	0.455	0.980	0.488	20	876	18	24
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.18482905982905984	0.955	0.526	0.455	0.980	0.488	20	876	18	24
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.1858974358974359	0.954	0.514	0.432	0.980	0.469	19	876	18	25
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.186965811965812	0.954	0.514	0.432	0.980	0.469	19	876	18	25
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.18803418803418806	0.954	0.514	0.432	0.980	0.469	19	876	18	25
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.18910256410256412	0.954	0.514	0.432	0.980	0.469	19	876	18	25
